accession	genome	experiment_type	num_reads
DRX184548	ce11	Histone	32033954
DRX184549	ce11	Histone	26291984
DRX184550	ce11	Histone	23827690
DRX184552	ce11	Histone	28391575
DRX184553	ce11	Histone	29549494
DRX184554	ce11	Histone	28727719
DRX325719	ce11	TFs and others	8702767
DRX325720	ce11	TFs and others	11514675
DRX325721	ce11	TFs and others	8866489
DRX325722	ce11	TFs and others	6786223
DRX325723	ce11	Histone	12457621
DRX325724	ce11	Histone	10465047
DRX325725	ce11	Histone	9898854
DRX325726	ce11	TFs and others	8969932
DRX325727	ce11	TFs and others	7081179
DRX325728	ce11	TFs and others	8994806
DRX325732	ce11	TFs and others	9752273
DRX325733	ce11	TFs and others	9468639
DRX325734	ce11	TFs and others	11868273
DRX325735	ce11	TFs and others	4893573
DRX325736	ce11	Histone	14310611
DRX325737	ce11	Histone	11448610
DRX325738	ce11	Histone	5860851
DRX325739	ce11	TFs and others	5711305
DRX325740	ce11	TFs and others	8345806
DRX325741	ce11	TFs and others	5935756
SRX002673	ce11	TFs and others	11330473
SRX002675	ce11	TFs and others	13766925
SRX003816	ce11	RNA polymerase	11736857
SRX003817	ce11	RNA polymerase	1634666
SRX003818	ce11	RNA polymerase	15218948
SRX003819	ce11	RNA polymerase	1427608
SRX003820	ce11	RNA polymerase	15150543
SRX003821	ce11	RNA polymerase	11374329
SRX003822	ce11	RNA polymerase	11975152
SRX003823	ce11	RNA polymerase	1124137
SRX003824	ce11	RNA polymerase	14069076
SRX003825	ce11	RNA polymerase	8444506
SRX003830	ce11	TFs and others	3085377
SRX003832	ce11	TFs and others	1465710
SRX005625	ce11	TFs and others	5707229
SRX005626	ce11	RNA polymerase	4820475
SRX005628	ce11	TFs and others	7403385
SRX005629	ce11	RNA polymerase	4040048
SRX005631	ce11	TFs and others	3482818
SRX005632	ce11	RNA polymerase	4652073
SRX005634	ce11	TFs and others	4418118
SRX005635	ce11	RNA polymerase	1958846
SRX005637	ce11	TFs and others	2245066
SRX005639	ce11	TFs and others	5286180
SRX005648	ce11	RNA polymerase	4134711
SRX005649	ce11	RNA polymerase	5019687
SRX005650	ce11	RNA polymerase	2855301
SRX005651	ce11	RNA polymerase	12672720
SRX012297	ce11	Histone	8379722
SRX012298	ce11	Histone	7829986
SRX012300	ce11	Histone	13402463
SRX015093	ce11	TFs and others	4009487
SRX015094	ce11	TFs and others	4453409
SRX015096	ce11	TFs and others	5078643
SRX015098	ce11	TFs and others	4816763
SRX015100	ce11	TFs and others	25901
SRX015102	ce11	TFs and others	19233
SRX027098	ce11	TFs and others	10435718
SRX027210	ce11	Histone	21006018
SRX027211	ce11	Histone	16264926
SRX043843	ce11	RNA polymerase	2045900
SRX043844	ce11	RNA polymerase	7488173
SRX043845	ce11	RNA polymerase	4001586
SRX043846	ce11	RNA polymerase	4359117
SRX043847	ce11	TFs and others	11728071
SRX043848	ce11	TFs and others	7291448
SRX043849	ce11	TFs and others	3514796
SRX043850	ce11	TFs and others	3287005
SRX043851	ce11	TFs and others	4453021
SRX043852	ce11	TFs and others	3814569
SRX043853	ce11	TFs and others	4175238
SRX043854	ce11	TFs and others	3382293
SRX043855	ce11	TFs and others	1826485
SRX043856	ce11	TFs and others	1320973
SRX043857	ce11	TFs and others	1463940
SRX043858	ce11	TFs and others	7132310
SRX043859	ce11	TFs and others	8510752
SRX043860	ce11	TFs and others	6078507
SRX043861	ce11	TFs and others	10748447
SRX043862	ce11	TFs and others	11262656
SRX043863	ce11	RNA polymerase	4304838
SRX043864	ce11	RNA polymerase	4157862
SRX043865	ce11	RNA polymerase	3999191
SRX043866	ce11	RNA polymerase	3435784
SRX043867	ce11	RNA polymerase	2762967
SRX043868	ce11	RNA polymerase	5066974
SRX043869	ce11	RNA polymerase	3075775
SRX043870	ce11	RNA polymerase	2643487
SRX043871	ce11	RNA polymerase	1960399
SRX043872	ce11	RNA polymerase	3046025
SRX043873	ce11	RNA polymerase	6195176
SRX043874	ce11	RNA polymerase	1982871
SRX043875	ce11	RNA polymerase	7475940
SRX043876	ce11	RNA polymerase	3599715
SRX043877	ce11	RNA polymerase	2360699
SRX043878	ce11	RNA polymerase	3432445
SRX043879	ce11	RNA polymerase	10071493
SRX043880	ce11	RNA polymerase	7075959
SRX043881	ce11	RNA polymerase	16766619
SRX043882	ce11	RNA polymerase	4267892
SRX043963	ce11	RNA polymerase	4549636
SRX043964	ce11	RNA polymerase	2183551
SRX043965	ce11	RNA polymerase	3926903
SRX043966	ce11	RNA polymerase	3599010
SRX043967	ce11	RNA polymerase	12256900
SRX043968	ce11	RNA polymerase	4103691
SRX043969	ce11	RNA polymerase	3528845
SRX043970	ce11	RNA polymerase	2798572
SRX043971	ce11	TFs and others	4294421
SRX043972	ce11	TFs and others	3197636
SRX043973	ce11	TFs and others	3303542
SRX043974	ce11	TFs and others	3398599
SRX043975	ce11	TFs and others	4302276
SRX043976	ce11	TFs and others	2875667
SRX043977	ce11	TFs and others	4078616
SRX043978	ce11	TFs and others	4078616
SRX043979	ce11	TFs and others	4095660
SRX043980	ce11	TFs and others	2422483
SRX043981	ce11	TFs and others	4793412
SRX043982	ce11	TFs and others	4849260
SRX043983	ce11	TFs and others	2937474
SRX043984	ce11	TFs and others	3793195
SRX043985	ce11	TFs and others	6024710
SRX043986	ce11	TFs and others	4785340
SRX043987	ce11	TFs and others	4732745
SRX043988	ce11	TFs and others	4379799
SRX043989	ce11	TFs and others	5494920
SRX043990	ce11	TFs and others	2703485
SRX043991	ce11	TFs and others	5006120
SRX043992	ce11	TFs and others	6877445
SRX043993	ce11	TFs and others	4165583
SRX043994	ce11	TFs and others	9149187
SRX043995	ce11	TFs and others	5161232
SRX043996	ce11	TFs and others	2863365
SRX043997	ce11	TFs and others	6342158
SRX043998	ce11	TFs and others	9803146
SRX043999	ce11	TFs and others	4797823
SRX044000	ce11	TFs and others	6981933
SRX044001	ce11	TFs and others	3951440
SRX044002	ce11	TFs and others	4377247
SRX044003	ce11	TFs and others	3242196
SRX044004	ce11	TFs and others	4107237
SRX044005	ce11	TFs and others	4031127
SRX044006	ce11	TFs and others	4786851
SRX044007	ce11	TFs and others	3061161
SRX044008	ce11	TFs and others	4291179
SRX044009	ce11	TFs and others	5195866
SRX044010	ce11	TFs and others	5285403
SRX044011	ce11	TFs and others	1068726
SRX044012	ce11	TFs and others	3021900
SRX044013	ce11	TFs and others	1894556
SRX044014	ce11	TFs and others	4416551
SRX044015	ce11	TFs and others	4109787
SRX044016	ce11	TFs and others	3180686
SRX044017	ce11	TFs and others	5399491
SRX044018	ce11	TFs and others	5072408
SRX044021	ce11	TFs and others	14244415
SRX044022	ce11	TFs and others	11454976
SRX044023	ce11	TFs and others	28993063
SRX044024	ce11	TFs and others	8501634
SRX054205	ce11	TFs and others	5395132
SRX054206	ce11	TFs and others	6132744
SRX054207	ce11	TFs and others	4220063
SRX054208	ce11	TFs and others	857311
SRX054209	ce11	TFs and others	4918197
SRX054210	ce11	TFs and others	2182021
SRX054211	ce11	TFs and others	3671631
SRX054248	ce11	TFs and others	2689326
SRX054249	ce11	TFs and others	1817076
SRX054250	ce11	TFs and others	5712711
SRX054251	ce11	TFs and others	3852108
SRX054252	ce11	TFs and others	2829693
SRX054253	ce11	TFs and others	3535784
SRX054254	ce11	TFs and others	5858168
SRX054255	ce11	TFs and others	4832460
SRX054256	ce11	TFs and others	2727720
SRX054257	ce11	TFs and others	3573958
SRX054258	ce11	TFs and others	1934794
SRX054259	ce11	TFs and others	2438831
SRX054260	ce11	TFs and others	4173453
SRX054261	ce11	TFs and others	7119810
SRX054262	ce11	TFs and others	2973812
SRX054263	ce11	TFs and others	2872705
